"X";"Y";"Z";"PZ";"DZ";"PX";"DX";
"-1390.82";"1594.21";"-383.485";"-191.742";"68.7032";"-695.41";"268.406";"1.55579e-307";
"-1387.5";"1595.19";"-375.338";"-187.669";"68.3389";"-693.75";"269.271";"1.55579e-307";
"-1384.74";"1595.32";"-369.268";"-184.634";"67.9232";"-692.371";"270.088";"1.55579e-307";
"-1381.89";"1594.89";"-363.382";"-181.691";"67.4628";"-690.944";"270.852";"1.55579e-307";
"-1377.23";"1593.94";"-356.103";"-178.052";"66.9644";"-688.616";"271.569";"1.55579e-307";
"-1373.56";"1592.69";"-350.726";"-175.363";"66.4227";"-686.782";"272.227";"1.55579e-307";
"-1369.41";"1591.55";"-344.931";"-172.466";"65.8455";"-684.704";"272.822";"1.55579e-307";
"-1364.84";"1590.19";"-339.305";"-169.653";"65.2351";"-682.419";"273.357";"1.55579e-307";
"-1358.09";"1588.52";"-331.94";"-165.97";"64.594";"-679.043";"273.829";"1.55579e-307";
"-1352.02";"1586.94";"-325.848";"-162.924";"63.9159";"-676.011";"274.212";"1.55579e-307";
"-1343.37";"1585.09";"-317.512";"-158.756";"63.2081";"-671.685";"274.519";"1.55579e-307";
"-1334.95";"1583.27";"-310.556";"-155.278";"62.4622";"-667.477";"274.733";"1.55579e-307";
"-1325.45";"1581.64";"-302.948";"-151.474";"61.6859";"-662.727";"274.843";"1.55579e-307";
"-1312.23";"1579.51";"-293.065";"-146.532";"60.8766";"-656.113";"274.852";"1.55579e-307";
"-1300.28";"1577.96";"-284.6";"-142.3";"60.0272";"-650.139";"274.726";"1.55579e-307";
"-1287.24";"1576.11";"-275.453";"-137.727";"59.1457";"-643.621";"274.475";"1.55579e-307";
"-1269.62";"1573.69";"-263.826";"-131.913";"58.2293";"-634.811";"274.102";"1.55579e-307";
"-1254.28";"1571.89";"-253.98";"-126.99";"57.2678";"-627.138";"273.583";"1.55579e-307";
"-1237.96";"1570.19";"-243.859";"-121.929";"56.2708";"-618.982";"272.935";"1.55579e-307";
"-1220.98";"1568.81";"-233.601";"-116.8";"55.2415";"-610.492";"272.144";"1.55579e-307";
"-1199.11";"1567.33";"-220.431";"-110.216";"54.1791";"-599.557";"271.217";"1.55579e-307";
"-1180.29";"1566.63";"-209.931";"-104.965";"53.0711";"-590.144";"270.127";"1.55579e-307";
"-1156.16";"1566.95";"-196.676";"-98.3381";"51.9359";"-578.079";"268.887";"1.55579e-307";
"-1136.46";"1567.33";"-186.223";"-93.1116";"50.759";"-568.229";"267.476";"1.55579e-307";
"-1116.09";"1568.32";"-175.803";"-87.9017";"49.5546";"-558.047";"265.923";"1.55579e-307";
"-1095.15";"1569.43";"-165.605";"-82.8027";"48.3305";"-547.574";"264.225";"1.55579e-307";
"-1068.73";"1571.09";"-153.018";"-76.5091";"47.0858";"-534.367";"262.388";"1.55579e-307";
"-1047.14";"1572.33";"-143.237";"-71.6186";"45.8101";"-523.57";"260.384";"1.55579e-307";
"-1025.07";"1573.51";"-133.601";"-66.8004";"44.5242";"-512.535";"258.246";"1.55579e-307";
"-1003.04";"1573.95";"-124.301";"-62.1505";"43.2251";"-501.52";"255.975";"1.55579e-307";
"-974.935";"1574.65";"-113.064";"-56.5321";"41.9147";"-487.467";"253.576";"1.55579e-307";
"-952.061";"1574.43";"-104.435";"-52.2177";"40.5848";"-476.031";"251.014";"1.55579e-307";
"-928.994";"1573.91";"-96.0493";"-48.0246";"39.2551";"-464.497";"248.327";"1.55579e-307";
"-899.688";"1572.94";"-85.8098";"-42.9049";"37.9187";"-449.844";"245.513";"1.55579e-307";
"-876.525";"1571.68";"-78.0487";"-39.0244";"36.5656";"-438.263";"242.537";"1.55579e-307";
"-853.253";"1570.49";"-70.6504";"-35.3252";"35.2143";"-426.626";"239.44";"1.55579e-307";
"-824.115";"1568.57";"-61.8949";"-30.9474";"33.8569";"-412.058";"236.219";"1.55579e-307";
"-801.035";"1567.16";"-55.0132";"-27.5066";"32.4865";"-400.518";"232.838";"1.55579e-307";
"-772.923";"1565.46";"-46.6956";"-23.3478";"31.1179";"-386.462";"229.346";"1.55579e-307";
"-750.814";"1563.89";"-40.0876";"-20.0438";"29.736";"-375.407";"225.706";"1.55579e-307";
"-728.84";"1562.32";"-33.9327";"-16.9663";"28.3503";"-364.42";"221.957";"1.55579e-307";
"-702.868";"1560.5";"-26.4666";"-13.2333";"26.9623";"-351.434";"218.102";"1.55579e-307";
"-682.089";"1558.87";"-20.5126";"-10.2563";"25.5737";"-341.044";"214.131";"1.55579e-307";
"-662.317";"1557.41";"-14.9138";"-7.45692";"24.1859";"-331.159";"210.071";"1.55579e-307";
"-637.945";"1555.2";"-7.60747";"-3.80373";"22.8104";"-318.973";"205.944";"1.55579e-307";
"-619.704";"1553.26";"-2.02692";"-1.01346";"21.4334";"-309.852";"201.719";"1.55579e-307";
"-602.397";"1551.7";"3.67923";"1.83962";"20.0655";"-301.198";"197.442";"1.55579e-307";
"-581.212";"1549.15";"10.8237";"5.41184";"18.7167";"-290.606";"193.14";"1.55579e-307";
"-565.14";"1546.82";"16.4749";"8.23747";"17.3739";"-282.57";"188.782";"1.55579e-307";
"-549.964";"1544.17";"22.5159";"11.2579";"16.0469";"-274.982";"184.406";"1.55579e-307";
"-531.895";"1540.91";"29.6112";"14.8056";"14.7454";"-265.948";"180.044";"1.55579e-307";
"-518.552";"1537.69";"35.5886";"17.7943";"13.4563";"-259.276";"175.666";"1.55579e-307";
"-505.463";"1534.34";"41.739";"20.8695";"12.1861";"-252.732";"171.306";"1.55579e-307";
"-490.05";"1529.33";"49.7092";"24.8546";"10.9346";"-245.025";"166.97";"1.55579e-307";
"-478.897";"1525.74";"56.1644";"28.0822";"9.70666";"-239.448";"162.672";"1.55579e-307";
"-468.327";"1521.78";"63.0396";"31.5198";"8.49713";"-234.163";"158.421";"1.55579e-307";
"-455.909";"1516.72";"71.6168";"35.8084";"7.3166";"-227.955";"154.253";"1.55579e-307";
"-447.246";"1513.34";"78.5327";"39.2664";"6.1446";"-223.623";"150.128";"1.55579e-307";
"-439.379";"1509.85";"85.7189";"42.8595";"4.98853";"-219.689";"146.074";"1.55579e-307";
"-430.279";"1506.1";"94.792";"47.396";"3.84615";"-215.14";"142.1";"1.55579e-307";
"-424.361";"1503.03";"101.93";"50.9648";"2.71974";"-212.18";"138.231";"1.55579e-307";
"-419.566";"1500.4";"109.025";"54.5125";"1.60534";"-209.783";"134.456";"1.55579e-307";
"-415.26";"1497.58";"116.084";"58.0421";"0.502498";"-207.63";"130.787";"1.55579e-307";
"-410.918";"1495.4";"124.419";"62.2097";"-0.590162";"-205.459";"127.224";"1.55579e-307";
"-408.838";"1494.77";"131.205";"65.6023";"-1.66963";"-204.419";"123.806";"1.55579e-307";
"-407.077";"1494.28";"137.533";"68.7663";"-2.74072";"-203.538";"120.514";"1.55579e-307";
"-406.464";"1494.67";"143.722";"71.861";"-3.80246";"-203.232";"117.351";"1.55579e-307";
"-406.718";"1494.98";"150.995";"75.4974";"-4.84579";"-203.359";"114.361";"1.55579e-307";
"-407.582";"1495.68";"156.638";"78.3191";"-5.88689";"-203.791";"111.514";"1.55579e-307";
"-409.443";"1496.59";"161.779";"80.8897";"-6.92002";"-204.721";"108.813";"1.55579e-307";
"-412.629";"1497.64";"167.507";"83.7533";"-7.93672";"-206.314";"106.3";"1.55579e-307";
"-415.823";"1498.37";"172.075";"86.0377";"-8.94818";"-207.912";"103.946";"1.55579e-307";
"-419.619";"1498.57";"176.345";"88.1727";"-9.94259";"-209.809";"101.782";"1.55579e-307";
"-425.244";"1499.45";"181.394";"90.697";"-10.9264";"-212.622";"99.7744";"1.55579e-307";
"-430.113";"1500.06";"185.12";"92.56";"-11.9051";"-215.057";"97.9344";"1.55579e-307";
"-435.571";"1500.33";"188.59";"94.2949";"-12.8669";"-217.786";"96.2813";"1.55579e-307";
"-443.314";"1500.45";"192.714";"96.3572";"-13.8174";"-221.657";"94.7873";"1.55579e-307";
"-449.613";"1500.58";"196.234";"98.1168";"-14.7611";"-224.807";"93.46";"1.55579e-307";
"-458.531";"1500.59";"199.927";"99.9633";"-15.6877";"-229.266";"92.3186";"1.55579e-307";
"-465.715";"1500.66";"202.82";"101.41";"-16.6056";"-232.857";"91.3418";"1.55579e-307";
"-472.604";"1500.66";"205.923";"102.961";"-17.5108";"-236.302";"90.5134";"1.55579e-307";
"-480.203";"1500.97";"208.593";"104.296";"-18.3976";"-240.102";"89.8552";"1.55579e-307";
"-487.726";"1500.83";"211.109";"105.554";"-19.2709";"-243.863";"89.3404";"1.55579e-307";
"-495.164";"1500.8";"213.462";"106.731";"-20.1281";"-247.582";"88.9632";"1.55579e-307";
"-504.797";"1500.49";"216.187";"108.093";"-20.9638";"-252.399";"88.7406";"1.55579e-307";
"-512.575";"1500.14";"218.119";"109.06";"-21.7847";"-256.288";"88.6572";"1.55579e-307";
"-521.919";"1499.5";"220.276";"110.138";"-22.5865";"-260.96";"88.7003";"1.55579e-307";
"-529.855";"1499.16";"221.602";"110.801";"-23.3618";"-264.927";"88.8935";"1.55579e-307";
"-537.67";"1498.74";"222.964";"111.482";"-24.1138";"-268.835";"89.2023";"1.55579e-307";
"-547.037";"1498.69";"224.583";"112.292";"-24.8407";"-273.519";"89.6226";"1.55579e-307";
"-555.159";"1500.04";"225.311";"112.655";"-25.536";"-277.579";"90.1749";"1.55579e-307";
"-562.79";"1502.42";"226.183";"113.092";"-26.2032";"-281.395";"90.8289";"1.55579e-307";
"-570.784";"1505.37";"226.715";"113.357";"-26.8416";"-285.392";"91.5768";"1.55579e-307";
"-580.235";"1510.26";"227.38";"113.69";"-27.4413";"-290.118";"92.4284";"1.55579e-307";
"-588.238";"1514.5";"227.792";"113.896";"-28.0115";"-294.119";"93.3731";"1.55579e-307";
"-597.442";"1520.37";"227.853";"113.926";"-28.5514";"-298.721";"94.3953";"1.55579e-307";
"-605.063";"1524.56";"227.932";"113.966";"-29.0594";"-302.531";"95.4994";"1.55579e-307";
"-612.642";"1528.76";"227.649";"113.825";"-29.5299";"-306.321";"96.6761";"1.55579e-307";
"-621.399";"1533.66";"226.869";"113.434";"-29.9683";"-310.7";"97.9113";"1.55579e-307";
"-628.465";"1537.24";"226.187";"113.094";"-30.3744";"-314.232";"99.2102";"1.55579e-307";
"-635.418";"1540.99";"224.967";"112.484";"-30.7492";"-317.709";"100.556";"1.55579e-307";
"-641.601";"1544.14";"223.656";"111.828";"-31.0855";"-320.8";"101.942";"1.55579e-307";
"-648.927";"1547.26";"220.885";"110.442";"-31.3901";"-324.463";"103.36";"1.55579e-307";
"-654.806";"1549.16";"218.668";"109.334";"-31.6587";"-327.403";"104.811";"1.55579e-307";
"-659.771";"1550.55";"216.635";"108.317";"-31.8913";"-329.886";"106.279";"1.55579e-307";
"-665.824";"1551.56";"213.193";"106.597";"-32.0938";"-332.912";"107.758";"1.55579e-307";
"-669.962";"1551.34";"210.357";"105.178";"-32.2613";"-334.981";"109.25";"1.55579e-307";
"-675.327";"1551.49";"206.502";"103.251";"-32.393";"-337.663";"110.733";"1.55579e-307";
"-678.799";"1550.7";"203.535";"101.767";"-32.4902";"-339.4";"112.219";"1.55579e-307";
"-681.975";"1549.45";"200.353";"100.177";"-32.5581";"-340.988";"113.693";"1.55579e-307";
"-685.11";"1547.97";"197.585";"98.7926";"-32.5928";"-342.555";"115.14";"1.55579e-307";
"-688.032";"1545.58";"193.855";"96.9275";"-32.599";"-344.016";"116.567";"1.55579e-307";
"-690.071";"1543.06";"190.587";"95.2935";"-32.5714";"-345.036";"117.958";"1.55579e-307";
"-692.055";"1540.46";"188.131";"94.0653";"-32.5158";"-346.027";"119.317";"1.55579e-307";
"-693.532";"1537.75";"185.386";"92.6931";"-32.4349";"-346.766";"120.648";"1.55579e-307";
"-695.059";"1534.51";"181.739";"90.8693";"-32.3294";"-347.529";"121.94";"1.55579e-307";
"-695.546";"1531.52";"179.73";"89.8649";"-32.1959";"-347.773";"123.197";"1.55579e-307";
"-696.341";"1529";"177.797";"88.8983";"-32.0426";"-348.17";"124.411";"1.55579e-307";
"-696.52";"1525.95";"175.643";"87.8216";"-31.8681";"-348.26";"125.572";"1.55579e-307";
"-696.711";"1523.2";"173.389";"86.6947";"-31.675";"-348.355";"126.687";"1.55579e-307";
"-696.542";"1520.81";"171.568";"85.7838";"-31.4619";"-348.271";"127.746";"1.55579e-307";
"-696.07";"1517.85";"169.849";"84.9245";"-31.2345";"-348.035";"128.757";"1.55579e-307";
"-695.184";"1514.83";"167.797";"83.8987";"-30.993";"-347.592";"129.717";"1.55579e-307";
"-694.46";"1512.28";"166.379";"83.1894";"-30.7349";"-347.23";"130.615";"1.55579e-307";
"-693.435";"1509.99";"165.006";"82.5031";"-30.467";"-346.718";"131.459";"1.55579e-307";
"-692.272";"1507.45";"163.424";"81.7118";"-30.189";"-346.136";"132.251";"1.55579e-307";
"-690.305";"1504.65";"161.726";"80.863";"-29.9013";"-345.153";"132.987";"1.55579e-307";
"-688.977";"1503";"160.353";"80.1765";"-29.6028";"-344.488";"133.654";"1.55579e-307";
"-687.527";"1501.09";"159.142";"79.5708";"-29.2963";"-343.764";"134.264";"1.55579e-307";
"-686.175";"1499.28";"158.047";"79.0234";"-28.984";"-343.088";"134.81";"1.55579e-307";
"-684.672";"1497.62";"156.673";"78.3367";"-28.6663";"-342.336";"135.302";"1.55579e-307";
"-683.073";"1496.03";"155.68";"77.8399";"-28.3437";"-341.536";"135.739";"1.55579e-307";
"-681.534";"1494.65";"155.06";"77.53";"-28.0201";"-340.767";"136.112";"1.55579e-307";
"-680.027";"1492.69";"154.258";"77.129";"-27.6968";"-340.014";"136.434";"1.55579e-307";
"-678.191";"1490.83";"153.469";"76.7345";"-27.3754";"-339.096";"136.704";"1.55579e-307";
"-676.966";"1488.87";"152.981";"76.4906";"-27.0564";"-338.483";"136.926";"1.55579e-307";
"-675.258";"1487.16";"152.594";"76.297";"-26.7477";"-337.629";"137.096";"1.55579e-307";
"-673.636";"1484.8";"152.291";"76.1454";"-26.4474";"-336.818";"137.22";"1.55579e-307";
"-672.293";"1482.79";"152.234";"76.117";"-26.1549";"-336.146";"137.304";"1.55579e-307";
"-671.347";"1480.06";"152.183";"76.0917";"-25.8778";"-335.674";"137.343";"1.55579e-307";
"-670.583";"1477.97";"152.249";"76.1246";"-25.6134";"-335.292";"137.352";"1.55579e-307";
"-669.821";"1475.78";"152.437";"76.2184";"-25.3668";"-334.91";"137.323";"1.55579e-307";
"-669.293";"1472.92";"152.966";"76.483";"-25.1345";"-334.647";"137.268";"1.55579e-307";
"-668.846";"1471.07";"153.307";"76.6536";"-24.9191";"-334.423";"137.192";"1.55579e-307";
"-668.171";"1469.59";"153.785";"76.8927";"-24.7179";"-334.086";"137.093";"1.55579e-307";
"-667.818";"1468.65";"154.346";"77.1732";"-24.5357";"-333.909";"136.973";"1.55579e-307";
"-667.655";"1468.28";"155.092";"77.5458";"-24.371";"-333.828";"136.838";"1.55579e-307";
"-667.213";"1467.92";"155.923";"77.9614";"-24.2208";"-333.606";"136.69";"1.55579e-307";
"-667.321";"1468.68";"156.412";"78.2058";"-24.0869";"-333.66";"136.53";"1.55579e-307";
"-667.643";"1469.83";"156.64";"78.32";"-23.9718";"-333.821";"136.362";"1.55579e-307";
"-668.257";"1471.12";"156.879";"78.4397";"-23.8668";"-334.129";"136.193";"1.55579e-307";
"-668.173";"1472.59";"157.055";"78.5276";"-23.7717";"-334.087";"136.023";"1.55579e-307";
"-668.573";"1473.95";"156.562";"78.2808";"-23.6873";"-334.287";"135.851";"1.55579e-307";
"-668.79";"1475.55";"155.819";"77.9093";"-23.6108";"-334.395";"135.681";"1.55579e-307";
"-668.73";"1477.22";"154.229";"77.1145";"-23.5392";"-334.365";"135.512";"1.55579e-307";
"-668.125";"1478.12";"152.798";"76.3991";"-23.4682";"-334.063";"135.347";"1.55579e-307";
"-667.666";"1479.26";"150.875";"75.4376";"-23.4";"-333.833";"135.183";"1.55579e-307";
"-666.752";"1480";"148.48";"74.2402";"-23.3295";"-333.376";"135.02";"1.55579e-307";
"-665.603";"1480.81";"144.654";"72.3268";"-23.2544";"-332.802";"134.859";"1.55579e-307";
"-664.225";"1481.44";"140.591";"70.2957";"-23.1691";"-332.112";"134.697";"1.55579e-307";
"-663.064";"1482.24";"136.639";"68.3193";"-23.073";"-331.532";"134.539";"1.55579e-307";
"-661.204";"1483.65";"130.809";"65.4043";"-22.9652";"-330.602";"134.382";"1.55579e-307";
"-659.128";"1485.61";"125.646";"62.8229";"-22.8364";"-329.564";"134.222";"1.55579e-307";
"-656.839";"1488.3";"120.33";"60.165";"-22.6892";"-328.42";"134.059";"1.55579e-307";
"-653.876";"1490.8";"114.259";"57.1297";"-22.524";"-326.938";"133.89";"1.55579e-307";
"-650.451";"1493.84";"106.331";"53.1657";"-22.3357";"-325.226";"133.713";"1.55579e-307";
"-646.756";"1496.05";"99.8453";"49.9226";"-22.1142";"-323.378";"133.524";"1.55579e-307";
"-643.044";"1498.5";"92.7996";"46.3998";"-21.8669";"-321.522";"133.323";"1.55579e-307";
"-639.105";"1500.89";"85.8903";"42.9451";"-21.5911";"-319.552";"133.11";"1.55579e-307";
"-633.674";"1503.52";"76.4391";"38.2196";"-21.2861";"-316.837";"132.88";"1.55579e-307";
"-629.728";"1505.94";"69.04";"34.52";"-20.94";"-314.864";"132.628";"1.55579e-307";
"-625.041";"1507.82";"61.2849";"30.6425";"-20.5616";"-312.52";"132.362";"1.55579e-307";
"-619.425";"1510.49";"51.3049";"25.6524";"-20.1482";"-309.713";"132.076";"1.55579e-307";
"-615.077";"1512.36";"43.1481";"21.574";"-19.6896";"-307.538";"131.761";"1.55579e-307";
"-610.183";"1514.01";"35.0122";"17.5061";"-19.1937";"-305.091";"131.425";"1.55579e-307";
"-605.785";"1515.13";"26.8679";"13.434";"-18.66";"-302.893";"131.063";"1.55579e-307";
"-599.984";"1516.02";"16.6473";"8.32363";"-18.0868";"-299.992";"130.678";"1.55579e-307";
"-594.718";"1516.24";"8.31075";"4.15538";"-17.4656";"-297.359";"130.261";"1.55579e-307";
"-589.563";"1516.66";"0.0394432";"0.0197216";"-16.8044";"-294.782";"129.816";"1.55579e-307";
"-584.239";"1517.33";"-8.15738";"-4.07869";"-16.103";"-292.119";"129.342";"1.55579e-307";
"-577.136";"1517.96";"-17.8473";"-8.92367";"-15.3609";"-288.568";"128.836";"1.55579e-307";
"-571.32";"1518.62";"-25.7312";"-12.8656";"-14.5711";"-285.66";"128.29";"1.55579e-307";
"-565.075";"1519.22";"-33.2598";"-16.6299";"-13.7431";"-282.537";"127.708";"1.55579e-307";
"-557.164";"1520.34";"-42.6483";"-21.3241";"-12.88";"-278.582";"127.087";"1.55579e-307";
"-550.731";"1521.7";"-49.6581";"-24.8291";"-11.973";"-275.365";"126.413";"1.55579e-307";
"-542.609";"1524.59";"-58.3755";"-29.1878";"-11.0334";"-271.305";"125.702";"1.55579e-307";
"-536.149";"1527.27";"-65.1206";"-32.5603";"-10.0564";"-268.074";"124.938";"1.55579e-307";
"-528.999";"1531";"-71.7551";"-35.8776";"-9.05215";"-264.5";"124.134";"1.55579e-307";
"-520.371";"1535.87";"-79.1346";"-39.5673";"-8.02495";"-260.186";"123.288";"1.55579e-307";
"-513.193";"1540.72";"-84.863";"-42.4315";"-6.97071";"-256.596";"122.392";"1.55579e-307";
"-506.299";"1545.01";"-90.1921";"-45.096";"-5.89917";"-253.15";"121.456";"1.55579e-307";
"-499.379";"1549.38";"-95.568";"-47.784";"-4.8143";"-249.69";"120.483";"1.55579e-307";
"-490.378";"1554.23";"-101.553";"-50.7765";"-3.72238";"-245.189";"119.476";"1.55579e-307";
"-483.623";"1557.76";"-106.007";"-53.0036";"-2.62172";"-241.812";"118.422";"1.55579e-307";
"-476.924";"1560.93";"-110.129";"-55.0644";"-1.51879";"-238.462";"117.335";"1.55579e-307";
"-468.147";"1563.93";"-114.882";"-57.441";"-0.423619";"-234.073";"116.218";"1.55579e-307";
"-461.324";"1565.8";"-118.392";"-59.1962";"0.669689";"-230.662";"115.061";"1.55579e-307";
"-454.72";"1567.29";"-121.353";"-60.6763";"1.75479";"-227.36";"113.876";"1.55579e-307";
"-446.664";"1568.63";"-124.509";"-62.2543";"2.82575";"-223.332";"112.669";"1.55579e-307";
"-440.121";"1569.27";"-126.771";"-63.3855";"3.87503";"-220.06";"111.434";"1.55579e-307";
"-433.574";"1569.36";"-128.529";"-64.2646";"4.9051";"-216.787";"110.181";"1.55579e-307";
"-425.604";"1568.86";"-130.674";"-65.3368";"5.91114";"-212.802";"108.912";"1.55579e-307";
"-419.38";"1568.73";"-131.65";"-65.825";"6.89552";"-209.69";"107.618";"1.55579e-307";
"-413.502";"1568.31";"-132.933";"-66.4664";"7.84138";"-206.751";"106.319";"1.55579e-307";
"-405.944";"1567.13";"-133.804";"-66.9019";"8.75944";"-202.972";"105.009";"1.55579e-307";
"-400.056";"1565.85";"-134.666";"-67.3332";"9.64621";"-200.028";"103.681";"1.55579e-307";
"-394.136";"1564.26";"-135.231";"-67.6153";"10.4915";"-197.068";"102.351";"1.55579e-307";
"-387.937";"1562.33";"-135.532";"-67.7658";"11.3023";"1306.03";"101.012";"1.55579e-307";
"-380.9";"1559.76";"-135.575";"-67.7873";"12.0775";"1309.55";"81.4833";"1.55579e-307";
"-375.087";"1558.41";"-135.143";"-67.5713";"12.8159";"1312.46";"61.9386";"1.55579e-307";
"-369.167";"1556.79";"-134.881";"-67.4404";"13.5059";"1315.42";"42.3937";"1.55579e-307";
"-363.836";"1555.72";"-134.264";"-67.1318";"14.1567";"1318.08";"22.8449";"1.55579e-307";
"-358.246";"1555.23";"-133.665";"-66.8324";"14.7672";"1320.88";"3.29509";"1.55579e-307";
"-354.345";"1555.61";"-133.106";"-66.5532";"15.3377";"1322.83";"-16.2564";"1.55579e-307";
"-351.868";"1556.94";"-132.101";"-66.0506";"15.8616";"1324.07";"-35.7884";"1.55579e-307";
"-351.563";"1560.65";"-130.581";"-65.2906";"16.3451";"1324.22";"-55.3003";"1.55579e-307";
"-353.222";"1565.77";"-129.294";"-64.647";"16.7875";"1323.39";"-74.7761";"1.55579e-307";
"-357.297";"1573.06";"-127.787";"-63.8934";"17.1813";"1321.35";"-94.1939";"1.55579e-307";
"-366.61";"1585.24";"-126.032";"-63.0162";"17.5364";"1316.7";"-113.548";"1.55579e-307";
"-376.938";"1596.57";"-124.601";"-62.3006";"17.844";"1311.53";"-132.797";"1.55579e-307";
"-390.491";"1609.49";"-123.337";"-61.6683";"18.1143";"1304.75";"-151.943";"1.55579e-307";
"-411.052";"1627.49";"-121.828";"-60.914";"18.3488";"1294.47";"-170.965";"1.55579e-307";
"-430.726";"1642.75";"-120.754";"-60.3769";"18.5429";"1284.64";"-189.809";"1.55579e-307";
"-453.536";"1658.73";"-120.143";"-60.0715";"18.706";"1273.23";"-208.49";"1.55579e-307";
"-478.923";"1675.11";"-119.807";"-59.9035";"18.8421";"1260.54";"-226.992";"1.55579e-307";
"-514.543";"1696.51";"-119.763";"-59.8814";"18.9523";"1242.73";"-245.298";"1.55579e-307";
"-546.394";"1713.93";"-120.301";"-60.1507";"19.0351";"1226.8";"-263.333";"1.55579e-307";
"-580.798";"1731.86";"-121.52";"-60.7599";"19.1001";"1209.6";"-281.135";"1.55579e-307";
"-617.536";"1750.91";"-122.591";"-61.2957";"19.1518";"1191.23";"-298.687";"1.55579e-307";
"-665.74";"1774.27";"-124.5";"-62.25";"19.1869";"1167.13";"-315.963";"1.55579e-307";
"-706.064";"1792.91";"-125.945";"-62.9727";"19.2147";"1146.97";"-332.906";"1.55579e-307";
"-747.543";"1811.49";"-127.496";"-63.7482";"19.2355";"1126.23";"-349.565";"1.55579e-307";
"-799.61";"1833.88";"-129.577";"-64.7883";"19.2491";"1100.2";"-365.923";"1.55579e-307";
"-842.123";"1851.37";"-131.095";"-65.5475";"19.2619";"1078.94";"-381.926";"1.55579e-307";
"-884.794";"1868.43";"-132.589";"-66.2943";"19.2735";"1057.6";"-397.632";"1.55579e-307";
"-927.776";"1884.8";"-134.078";"-67.0389";"19.2822";"1036.11";"-413.031";"1.55579e-307";
"-981.817";"1904.9";"-135.616";"-67.8079";"19.2933";"1009.09";"-428.131";"1.55579e-307";
"-1025.67";"1920.86";"-137.139";"-68.5697";"19.3055";"987.167";"-442.869";"1.55579e-307";
"-1069.16";"1936.82";"-138.326";"-69.163";"19.3206";"965.419";"-457.295";"1.55579e-307";
"-1113.09";"1952.78";"-139.75";"-69.8749";"19.3373";"943.456";"-471.422";"1.55579e-307";
"-1167.75";"1972.23";"-141.142";"-70.571";"19.3578";"916.123";"-485.246";"1.55579e-307";
"-1211.32";"1987.7";"-142.223";"-71.1113";"19.3833";"894.34";"-480.52";"1.55579e-307";
"-1254.53";"2002.83";"-143.285";"-71.6427";"19.4135";"872.735";"-475.487";"1.55579e-307";
"-1297.34";"2017.94";"-144.203";"-72.1017";"19.4505";"851.331";"-470.157";"1.55579e-307";
"-1349.75";"2036.18";"-145.244";"-72.6218";"19.4929";"825.126";"-464.532";"1.55579e-307";
"-1391.34";"2050.43";"-145.869";"-72.9343";"19.5428";"804.33";"-458.557";"1.55579e-307";
"-1421.88";"2061.11";"-146.124";"-73.0619";"19.5983";"789.061";"-452.295";"1.55579e-307";
"-1472.57";"2078.19";"-146.55";"-73.2748";"19.6575";"763.717";"-445.825";"1.55579e-307";
"-1512.5";"2091.37";"-146.421";"-73.2104";"19.7231";"743.748";"-439.033";"1.55579e-307";
"-1562.13";"2108.02";"-146.003";"-73.0012";"19.7951";"718.934";"-431.997";"1.55579e-307";
"-1610.62";"2124.01";"-144.876";"-72.4379";"19.8711";"694.69";"-424.671";"1.55579e-307";
"-1648.88";"2136.51";"-143.706";"-71.8532";"19.9488";"675.562";"-417.075";"1.55579e-307";
"-1695.75";"2151.43";"-141.622";"-70.8109";"20.0291";"652.126";"-409.303";"1.55579e-307";
"-1732.32";"2162.81";"-139.66";"-69.8302";"20.1065";"633.838";"-401.311";"1.55579e-307";
"-1777.52";"2176.72";"-136.516";"-68.258";"20.1807";"611.241";"-393.178";"1.55579e-307";
"-1812.35";"2187.15";"-133.653";"-66.8265";"20.2474";"593.822";"-384.897";"1.55579e-307";
"-1855.16";"2200.08";"-129.696";"-64.8479";"20.3061";"572.42";"-376.523";"1.55579e-307";
"-1888.67";"2210.51";"-126.188";"-63.0939";"20.3495";"555.667";"-368.029";"1.55579e-307";
"-1920.99";"2221.18";"-122.349";"-61.1747";"20.3785";"539.507";"-359.485";"1.55579e-307";
"-1960.22";"2234.71";"-117.049";"-58.5244";"20.3902";"519.888";"-350.961";"1.55579e-307";
"-1991.02";"2245.84";"-112.572";"-56.286";"20.3754";"504.489";"-342.392";"1.55579e-307";
"-2028.35";"2259.67";"-106.604";"-53.3021";"20.3348";"485.824";"-333.845";"1.55579e-307";
"-2057.31";"2271.13";"-101.517";"-50.7586";"20.2621";"471.347";"-325.295";"1.55579e-307";
"-2092.52";"2285.84";"-95.2121";"-47.6061";"20.1576";"453.738";"-316.861";"1.55579e-307";
"-2120.1";"2297.74";"-90.2353";"-45.1176";"20.0179";"439.951";"-308.458";"1.55579e-307";
"-2146.85";"2309.83";"-85.1744";"-42.5872";"19.8486";"426.575";"-300.14";"1.55579e-307";
"-2179.99";"2325.04";"-79.1387";"-39.5693";"19.6467";"410.004";"-291.975";"1.55579e-307";
"-2205.72";"2337.17";"-74.4475";"-37.2238";"19.4106";"397.142";"-283.866";"1.55579e-307";
"-2237.21";"2351.83";"-68.9622";"-34.4811";"19.1463";"381.393";"-275.861";"1.55579e-307";
