-51.4907,46.9304,88.8771,44.4386,-0,-25.7454,-0,1.55649e-307
-51.482,46.9416,88.8471,44.4236,-13.3316,-25.741,10.2981,1.55649e-307
-51.4762,46.9647,88.914,44.457,-13.3293,-25.7381,10.2973,1.55649e-307
-51.5221,46.973,88.8753,44.4376,-13.3319,-25.761,10.2966,1.55649e-307
-51.4797,46.9374,88.8688,44.4344,-13.3318,-25.7398,10.2986,1.55649e-307
-51.4844,46.9445,88.8834,44.4417,-13.3315,-25.7422,10.298,1.55649e-307
-51.4806,46.9392,88.8757,44.4378,-13.3316,-25.7403,10.2978,1.55649e-307
-51.5041,46.9515,88.8918,44.4459,-13.3316,-25.7521,10.2976,1.55649e-307
-51.5041,46.9647,88.9046,44.4523,-13.3319,-25.7521,10.298,1.55649e-307
-51.4977,46.9621,88.9043,44.4522,-13.3323,-25.7489,10.2983,1.55649e-307
-51.4948,46.9409,88.8714,44.4357,-13.3326,-25.7474,10.2984,1.55649e-307
-51.4792,46.9651,88.9077,44.4538,-13.3325,-25.7396,10.2985,1.55649e-307
-51.4808,46.9595,88.8941,44.447,-13.3328,-25.7404,10.2983,1.55649e-307
-51.4842,46.9723,88.9008,44.4504,-13.3329,-25.7421,10.2981,1.55649e-307
-51.4865,46.9597,88.8973,44.4487,-13.333,-25.7432,10.298,1.55649e-307
-51.4919,46.9645,88.8997,44.4499,-13.3331,-25.7459,10.298,1.55649e-307
-51.4817,46.9508,88.8746,44.4373,-13.3332,-25.7408,10.298,1.55649e-307
-51.5009,46.9423,88.8759,44.438,-13.3331,-25.7504,10.2979,1.55649e-307
-51.5085,46.948,88.8771,44.4385,-13.333,-25.7543,10.298,1.55649e-307
-51.4965,46.9299,88.8835,44.4417,-13.333,-25.7483,10.2982,1.55649e-307
-51.4859,46.9459,88.8741,44.4371,-13.3329,-25.7429,10.2983,1.55649e-307
-51.4909,46.9459,88.8857,44.4429,-13.3328,-25.7454,10.2982,1.55649e-307
-51.5189,46.9126,88.8681,44.434,-13.3328,-25.7594,10.2982,1.55649e-307
-51.5067,46.935,88.867,44.4335,-13.3327,-25.7534,10.2985,1.55649e-307
-51.5216,46.9354,88.8674,44.4337,-13.3326,-25.7608,10.2986,1.55649e-307
-51.489,46.9719,88.9043,44.4522,-13.3325,-25.7445,10.2988,1.55649e-307
-51.4818,46.9776,88.918,44.459,-13.3326,-25.7409,10.2988,1.55649e-307
-51.4708,46.9523,88.9058,44.4529,-13.3328,-25.7354,10.2987,1.55649e-307
-51.4946,46.9706,88.9048,44.4524,-13.3329,-25.7473,10.2985,1.55649e-307
-51.5005,46.9668,88.8911,44.4456,-13.333,-25.7502,10.2985,1.55649e-307
-51.4926,46.9663,88.8936,44.4468,-13.3331,-25.7463,10.2986,1.55649e-307
-51.4864,46.959,88.9044,44.4522,-13.3331,-25.7432,10.2986,1.55649e-307
-51.5157,46.9104,88.9039,44.4519,-13.3332,-25.7578,10.2985,1.55649e-307
-51.4776,46.9426,88.8835,44.4417,-13.3332,-25.7388,10.2987,1.55649e-307
-51.4898,46.9669,88.9115,44.4557,-13.3333,-25.7449,10.2986,1.55649e-307
-51.4858,46.9587,88.865,44.4325,-13.3336,-25.7429,10.2986,1.55649e-307
-51.4891,46.9314,88.8755,44.4377,-13.3333,-25.7445,10.2987,1.55649e-307
-51.4967,46.973,88.9065,44.4533,-13.3333,-25.7483,10.2985,1.55649e-307
-51.5117,46.9476,88.8828,44.4414,-13.3335,-25.7559,10.2986,1.55649e-307
-51.4688,46.9743,88.9107,44.4553,-13.3335,-25.7344,10.2988,1.55649e-307
-51.4984,46.9432,88.8951,44.4475,-13.3337,-25.7492,10.2987,1.55649e-307
-51.485,46.9767,88.9213,44.4607,-13.3337,-25.7425,10.2987,1.55649e-307
-51.4985,46.9462,88.8577,44.4289,-13.3338,-25.7492,10.2986,1.55649e-307
-51.4983,46.9423,88.8552,44.4276,-13.3335,-25.7492,10.2986,1.55649e-307
-51.4896,46.9512,88.8951,44.4476,-13.3335,-25.7448,10.2986,1.55649e-307
-51.4877,46.9964,88.8938,44.4469,-13.3334,-25.7439,10.2986,1.55649e-307
-51.5171,46.9893,88.9134,44.4567,-13.3334,-25.7585,10.2987,1.55649e-307
-51.4875,46.9424,88.8885,44.4442,-13.3335,-25.7437,10.2989,1.55649e-307
-51.4847,46.9755,88.9053,44.4527,-13.3334,-25.7423,10.2989,1.55649e-307
-51.4758,46.9641,88.9,44.45,-13.3335,-25.7379,10.2988,1.55649e-307
-51.5007,46.9761,88.897,44.4485,-13.3336,-25.7504,10.2988,1.55649e-307
-51.486,46.9405,88.8702,44.4351,-13.3337,-25.743,10.2988,1.55649e-307
-51.5018,46.9477,88.8772,44.4386,-13.3336,-25.7509,10.2987,1.55649e-307
-51.4845,46.9318,88.8682,44.4341,-13.3336,-25.7422,10.2987,1.55649e-307
-51.4654,46.9445,88.8934,44.4467,-13.3336,-25.7327,10.2987,1.55649e-307
-51.5079,46.9508,88.8571,44.4286,-13.3336,-25.754,10.2985,1.55649e-307
-51.5077,46.9555,88.896,44.448,-13.3336,-25.7538,10.2985,1.55649e-307
-51.4604,46.9524,88.9435,44.4718,-13.3337,-25.7302,10.2985,1.55649e-307
-51.4846,46.9709,88.8903,44.4451,-13.334,-25.7423,10.2981,1.55649e-307
-51.4865,46.9376,88.8736,44.4368,-13.334,-25.7432,10.2981,1.55649e-307
-51.4786,46.9427,88.8649,44.4324,-13.3338,-25.7393,10.2981,1.55649e-307
